I need more information,Bot_Control_Clarification
What do you mean by that?,Bot_Control_Clarification
Can you say that again please?,Bot_Control_Clarification
What do you mean?,Bot_Control_Clarification
I don't understand,Bot_Control_Clarification
I don't understand what you're saying,Bot_Control_Clarification
I don't get it,Bot_Control_Clarification
I didn't understand that properly,Bot_Control_Clarification
I didn't quite understand what you said,Bot_Control_Clarification
I didn't catch that,Bot_Control_Clarification
Come again?,Bot_Control_Clarification
Explains,Bot_Control_Clarification
I did not quite understand what you gave me,Bot_Control_Clarification
What are you talking about?,Bot_Control_Clarification
What are you saying?,Bot_Control_Clarification
What are you referring to?,Bot_Control_Clarification
"Let's try to say that again more clearly, shall we?",Bot_Control_Clarification
Where'd you go?,Bot_Control_Confirm_Presence
Speak to me if you are there.,Bot_Control_Confirm_Presence
You around?,Bot_Control_Confirm_Presence
Is anybody home?,Bot_Control_Confirm_Presence
Is anybody here?,Bot_Control_Confirm_Presence
I am still holding,Bot_Control_Confirm_Presence
Have I lost you?,Bot_Control_Confirm_Presence
Did you hear what I said?,Bot_Control_Confirm_Presence
Did you go somewhere?,Bot_Control_Confirm_Presence
Are you there?,Bot_Control_Confirm_Presence
Are you still here with me?,Bot_Control_Confirm_Presence
Are you still around?,Bot_Control_Confirm_Presence
Are you on?,Bot_Control_Confirm_Presence
Are you leaving me?,Bot_Control_Confirm_Presence
Anyone there?,Bot_Control_Confirm_Presence
Am I talking to someone?,Bot_Control_Confirm_Presence
Ignore this,Bot_Control_Ignore_Undo
Nothing,Bot_Control_Ignore_Undo
Never,Bot_Control_Ignore_Undo
Not yet,Bot_Control_Ignore_Undo
"Actually, I take that back",Bot_Control_Ignore_Undo
Cancel,Bot_Control_Ignore_Undo
Hold on! I think I want to do it differently.,Bot_Control_Ignore_Undo
I change my mind.,Bot_Control_Ignore_Undo
I did not mean that?,Bot_Control_Ignore_Undo
"I didn't mean to do that actually, let's go back",Bot_Control_Ignore_Undo
It's not what I mean,Bot_Control_Ignore_Undo
Let us redo that again!,Bot_Control_Ignore_Undo
Never mind,Bot_Control_Ignore_Undo
Wait! Let's back up few steps and do that again,Bot_Control_Ignore_Undo
Wrong response,Bot_Control_Reject_Response
You did not understand what I asked,Bot_Control_Reject_Response
You did not understand what I said,Bot_Control_Reject_Response
You didn't understand me,Bot_Control_Reject_Response
Bad response,Bot_Control_Reject_Response
I do not think it is the answer?,Bot_Control_Reject_Response
I don't need that,Bot_Control_Reject_Response
I don't want that,Bot_Control_Reject_Response
I wasn't looking for that,Bot_Control_Reject_Response
It is not what I want,Bot_Control_Reject_Response
It is not what I was looking for,Bot_Control_Reject_Response
No I'm fine thanks,Bot_Control_Reject_Response
No,Bot_Control_Reject_Response
Not the right response,Bot_Control_Reject_Response
That answer is incorrect,Bot_Control_Reject_Response
That is not true,Bot_Control_Reject_Response
That sounds like the wrong response,Bot_Control_Reject_Response
That was not my intent,Bot_Control_Reject_Response
"That was wrong, try again",Bot_Control_Reject_Response
You're misunderstanding me,Bot_Control_Reject_Response
I disagree,Bot_Control_Reject_Response
Give me a few minutes to get together,Bot_Control_Standby
Wait,Bot_Control_Standby
Out for a break,Bot_Control_Standby
Need a minute here,Bot_Control_Standby
Let me see,Bot_Control_Standby
Keep holding,Bot_Control_Standby
Just hold on,Bot_Control_Standby
Just a sec,Bot_Control_Standby
In a moment,Bot_Control_Standby
